26055|ANCH|044|01|The Early Roman Empire (W)|1|SS, W|15|Evans, Marilyn|Course|TR|2:40pm - 3:55pm|TROT 215|$||
26035|ANTH|032D|01|Mass Media &amp; Anthropology (T)|1|SS|35|Nadkarni, Maya|Course|TR|9:55am - 11:10am|KOHL 228|$|Eligible for INTP program.|
26038|ANTH|043E|01|Culture,Health, Illness (T)|1|SS|35|Schuetze, Christine|Course|TR|2:40pm - 3:55pm|KOHL 228|$||
26036|ANTH|049B|01|Comparative Perspectives-Body|1|SS|35|Ghannam, Farha|Course|TR|11:20am - 12:35pm|KOHL 228|$|Eligible for GSST or INTP program.|
26275|ANTH|049BA|01|Comparative Persp-Body- Attach|1|SS|25|Ghannam, Farha|Attachment||||$||
25635|ANTH|103|A|Humanitarianism: Anth Appr (1)|1|SS|12|Atshan, Sa&apos;ed|Seminar1|W|1:15pm - 4:00pm|KOHL 226|$|Double-graded seminar. BOTH SECTIONS required. Eligible for PEAC program. Cross- listed w ith PEAC 103.|
25636|ANTH|103|B|Humanitarianism: Anth Appr (2)|1|SS|12|Atshan, Sa&apos;ed|Seminar2|W|1:15pm - 4:00pm|KOHL 226|$|Double-graded seminar. BOTH SECTIONS required.|
26033|ANTH|133|A|Anthropology of Biomedicine(1)|1|SS|12|Schuetze, Christine|Seminar1|M|1:15pm - 4:00pm|KOHL 236|$|Double-graded seminar. BOTH SECTIONS required.|
26034|ANTH|133|B|Anthropology of Biomedicine(2)|1|SS|12|Schuetze, Christine|Seminar2|M|1:15pm - 4:00pm|KOHL 236|$|Double-graded seminar. BOTH SECTIONS required.|
25816|ARAB|002|01|Intensive Elem Mod Stnd Arabic|1.5|HU|20|Smith, Benjamin|Language|TR|8:30am - 9:45am|KOHL 114|$|Accelerated w /extra credit. Students must register for one drill section A or B below .|
24546|ARAB|002|02|Intensive Elem Mod Stnd Arabic|1.5|HU|20|Smith, Benjamin|Language|TR|9:55am - 11:10am|KOHL 114|$|Accelerated w /extra credit. Students must register for one drill section A or B below .|
24547|ARAB|002|A|IntensElemModStnd Arabic-Drill|0||15|Hanna, Dima|Drill|MWF|9:30am - 10:20am|KOHL 114|$||
24548|ARAB|002|B|IntensElemModStnd Arabic-Drill|0||15|Hanna, Dima|Drill|MWF|10:30am - 11:20am|KOHL 114|$||
23539|ARAB|004|01|Intermed Mod Stand Arabic II|1.5|HU|20|Smith, Benjamin|Language|TR|11:20am - 12:35pm|KOHL 334|$|Acceler w /extra cred. Register for drill section A below . Prereq ARAB 003 or permis of dept. Eligible for ISLM prog.|
23545|ARAB|004|A|IntemModStndArabic II-Drill|0||20|Hanna, Dima|Drill|MWF|11:30am - 12:20pm|KOHL 334|$||
24168|ARAB|012|01|Advanced Arabic II|1|HU|20|Al-Masri, Khaled|Course|TR|9:55am - 11:10am|KOHL 334|$|Eligible for ISLM program.|
26231|ARAB|012A|01|Advanced Arabic Conversation|0.5||15|Hanna, Dima|Course|M|1:15pm - 2:30pm|KOHL 114|$|Eligible for ISLM program.|
26232|ARAB|022|01|Oppression in Arabic Fiction|1||20|Al-Masri, Khaled|Course|T|6:00pm - 9:00pm|KOHL 334|$||
26233|ARAB|093|01|Directed Reading|1||5|Al-Masri, Khaled|Directed Rdg||||$|See Dept Admin Asst to register.|
26091|ARTH|001Q|01|FYS: Caravaggio (W)|1|HU, W|12|Dow ney, Erin|FY Seminar|TR|1:15pm - 2:30pm|BEARDS 318|$||
26087|ARTH|005|01|Modern Art|1|HU|30|Hungerford, Constance|Course|MWF|9:30am - 10:20am|BEARDS 316|$||
26086|ARTH|006|01|Contemporary Art|1|HU|30|Feliz, Matthew|Course|TR|11:20am - 12:35pm|BEARDS 316|$||
26089|ARTH|024|01|Visualizing Africa/Ren Europe|1|HU|12|Dow ney, Erin|Course|W|1:15pm - 4:00pm|BEARDS 318|$||
24988|ARTH|032|01|Arts of Jpns Tea Culture (W)|1|HU, W|15|Sakomura, Tomoko|Course|TR|8:30am - 9:45am|BEARDS 318|$|Eligible for ASIA program.|
26088|ARTH|056|01|Craftsman to Virtuoso|1|HU|12|Dow ney, Erin|Course|MWF|11:30am - 12:20pm|BEARDS 318|$||
26090|ARTH|077|01|Photography, Race/ID American|1|HU|30|Feliz, Matthew|Course|TR|9:55am - 11:10am|BEARDS 316|$||
24989|ARTH|095|01|Cracking Visual Codes (W)|1|HU, W|18|Sakomura, Tomoko|Course|TR|11:20am - 12:35pm|BEARDS 318|$||
25919|ARTH|096|01|Dir Rdg:|1|HU|5|STAFF|Directed Rdg||||$|Credit range .5 – 1. See Dept Admin Asst to register.|
25719|ASTR|001|01|Introductory Astronomy|1|NS, NSEP|40|Grocholski, Aaron|Course|MWF|9:30am - 10:20am|SCI 128|$|Students must register for one lab section below .|
25721|ASTR|001|TA|Introductory Astronomy- Lab|0||12|Neat, Adam|Lab|T|8:00pm - 11:00pm|SCI 187|$||
25850|ASTR|001|TB|Introductory Astronomy- Lab|0||12|Neat, Adam|Lab|T|8:00pm - 11:00pm|SCI 187|$||
25720|ASTR|001|WA|Introductory Astronomy- Lab|0||12|Grocholski, Aaron|Lab|W|8:00pm - 11:00pm|SCI 187|$||
25849|ASTR|001|WB|Introductory Astronomy- Lab|0||12|Grocholski, Aaron|Lab|W|8:00pm - 11:00pm|SCI 187|$||
26171|ASTR|001A|01|Introductory Astronomy II|1|NS|40|Grocholski, Aaron|Course|MWF|11:30am - 12:20pm|SCI 128|$|Prerequisite ASTR 001.|
24137|ASTR|061|01|Current Prob-Astr&amp;Astrophys|0.5||12|Cohen, David|Course|F|11:30am - 12:20pm|SCI 113|$|Prerequisite: ASTR 016.|
25722|ASTR|093|A|Directed Reading|1||10|STAFF|Directed Rdg||||$|See Dept Admin Asst to register.|
20566|ASTR|094|A|Research Project|1||10|STAFF|Research Project||||$|See Dept Admin Asst to register.|
26167|ASTR|123|01|Stellar Astrophysics|1|NS|12|Cohen, David|Seminar1|W|1:15pm - 4:15pm|SCI 113|$||
20160|BIOL|002|01|Organismal &amp; Popul Biol (W)|1|NS, NSEP,|W 120|Merz, Rachel  & Clemens, Erin|Course|MWF|10:30am - 11:20am|SCI 101|$|Students must register for one lab section A-E below . Eligible for ENVS program.|
22279|BIOL|002|A|Organismal &amp; Populat Biol-Lab|0||24|Clemens, Erin|Lab|M|1:15pm - 4:15pm|SCI 204|$||
22280|BIOL|002|B|Organismal &amp; Populat Biol-Lab|0||24|Clemens, Erin|Lab|T|1:15pm - 4:15pm|SCI 204|$||
22281|BIOL|002|C|Organismal &amp; Populat Biol-Lab|0||24|Clemens, Erin|Lab|W|1:15pm - 4:15pm|SCI 204|$||
22282|BIOL|002|D|Organismal &amp; Populat Biol-Lab|0||24|Clemens, Erin|Lab|R|1:15pm - 4:15pm|SCI 204|$||
22283|BIOL|002|E|Organismal &amp; Populat Biol-Lab|0||24|Clemens, Erin|Lab|T|8:00am - 11:00am|SCI 204|$||
25244|BIOL|002SP|01|Biology- Scholars Program|0.5||12|Formica, Vincent|Workshop|TR|1:15pm - 2:30pm|SCI L26|$||
