TERM|CRN|SUBJ|CRSE#|SEC|TITLE|CR|DISTR|PROJ|COMMENT|INSTR1|INSTR2|PTRM|DESC1|TIME1|DAYS1|BLDG_RM1|DESC2|TIME2|DAYS2|BLDG_RM2
201704|16824|ANCH|010|01|FYS: Ancient Slavery(W)|1|SS, W|12||Evans, Marilyn||1|FY Seminar|11:20am-12:35pm|TTH|Trotter Hall 115||||
201704|16633|ANCH|031|01|The Greeks & Persian Empire(W)|1|SS, W|35||Munson, Rosaria||1|Course|11:30am-12:20pm|MWF|Trotter Hall 301||||
201704|16570|ANTH|001|01|Fdns: Culture, Power, Meaning|1|SS|35||Schuetze, Christine||1|Course|11:20am-12:20pm|TTH|Kohlberg 228||||
201704|16169|ANTH|002D|01|FYS:Culture & Gender (T)|1|SS|12|Eligible for GSST program.|Nadkarni, Maya||1|FY Seminar|1:15pm-4:00pm|W|Kohlberg 236||||
201704|16571|ANTH|021D|01|Anthro of Art & Aesthetics|1|SS|35||Fraga, Christopher||1|Course|1:15pm-2:30pm|TTH|Kohlberg 228||||
201704|16572|ANTH|031C|01|Hispanics, Mestizos, Latinxs|1|SS|35|Eligible for LALS program.|Fraga, Christopher||1|Course|9:55am-11:10am|TTH|Kohlberg 236||||
201704|16573|ANTH|042D|01|Political Anthropology (T)|1|SS|35||Nadkarni, Maya||1|Course|2:00pm-5:00pm|F|Kohlberg 228||||
201704|15936|ANTH|043E|01|Culture,Health, Illness (T)|1|SS|35||Schuetze, Christine||1|Course|2:40pm-3:55pm|TTH|Science Center L32||||
201704|13503|ARAB|001|01|Intensive Elem Mod Stan Arabic|1.5|HU|15|Students must enroll in drill section A or B below.|Smith, Benjamin||1|Language|8:30am-9:45am|TTH|Kohlberg 114||||
201704|13504|ARAB|001|02|Intensive Elem Mod Stan Arabic|1.5|HU|15|Students must enroll in drill section A or B below.|Smith, Benjamin||1|Language|9:55am-11:10am|TTH|Kohlberg 114||||
201704|13505|ARAB|001|A|Int Elem Mod Stan Arabic-Drill|0||15||Hanna, Dima||1|Drill|9:30am-10:20am|MWF|Kohlberg 114||||
201704|13506|ARAB|001|B|Int Elem Mod Stan Arabic-Drill|0||15||Hanna, Dima||1|Drill|10:30am-11:20am|MWF|Kohlberg 114||||
